,Date,Value,season,Date.adjust
519,8/1/2022,0,Early Wet Season,8/16/2022
520,8/2/2022,0,Early Wet Season,8/17/2022
521,8/3/2022,1.0668,Early Wet Season,8/18/2022
522,8/4/2022,0,Early Wet Season,8/19/2022
523,8/5/2022,0.0508,Early Wet Season,8/20/2022
524,8/6/2022,1.3716,Early Wet Season,8/21/2022
525,8/7/2022,0,Early Wet Season,8/22/2022
526,8/8/2022,0.6604,Early Wet Season,8/23/2022
527,8/9/2022,0.1778,Early Wet Season,8/24/2022
528,8/10/2022,0.508,Early Wet Season,8/25/2022
529,8/11/2022,0,Early Wet Season,8/26/2022
530,8/12/2022,0,Early Wet Season,8/27/2022
531,8/13/2022,0,Early Wet Season,8/28/2022
532,8/14/2022,1.8034,Early Wet Season,8/29/2022
533,8/15/2022,0,Early Wet Season,8/30/2022
534,8/16/2022,0,Early Wet Season,8/31/2022
535,8/17/2022,0,Early Wet Season,9/1/2022
536,8/18/2022,0.5334,Early Wet Season,9/2/2022
537,8/19/2022,3.7084,Early Wet Season,9/3/2022
538,8/20/2022,3.7338,Early Wet Season,9/4/2022
539,8/21/2022,0.1016,Early Wet Season,9/5/2022
540,8/22/2022,0,Early Wet Season,9/6/2022
541,8/23/2022,0,Early Wet Season,9/7/2022
542,8/24/2022,0,Early Wet Season,9/8/2022
543,8/25/2022,0,Early Wet Season,9/9/2022
544,8/26/2022,8.1534,Early Wet Season,9/10/2022
545,8/27/2022,0,Early Wet Season,9/11/2022
546,8/28/2022,0.508,Early Wet Season,9/12/2022
547,8/29/2022,0.2794,Early Wet Season,9/13/2022
548,8/30/2022,0.1778,Early Wet Season,9/14/2022
549,8/31/2022,0.381,Early Wet Season,9/15/2022
550,9/1/2022,0,Early Wet Season,9/16/2022
551,9/2/2022,0.2286,Early Wet Season,9/17/2022
552,9/3/2022,0,Early Wet Season,9/18/2022
553,9/4/2022,1.905,Early Wet Season,9/19/2022
554,9/5/2022,0,Early Wet Season,9/20/2022
555,9/6/2022,0,Early Wet Season,9/21/2022
556,9/7/2022,0,Early Wet Season,9/22/2022
557,9/8/2022,0.0254,Early Wet Season,9/23/2022
558,9/9/2022,0.5334,Early Wet Season,9/24/2022
559,9/10/2022,1.2446,Early Wet Season,9/25/2022
560,9/11/2022,3.5052,Early Wet Season,9/26/2022
561,9/12/2022,6.2484,Early Wet Season,9/27/2022
562,9/16/2022,4.0132,Late Wet Season,10/1/2022
563,9/17/2022,0.4572,Late Wet Season,10/2/2022
564,9/18/2022,6.096,Late Wet Season,10/3/2022
565,9/19/2022,0.5334,Late Wet Season,10/4/2022
